UF,V1022,V2001,V2005,V2007,V2009,V2010,V3001,V3009A,VD4019
23.0,1.0,4.0,5.0,2.0,27.0,4.0,1.0,10.0,
23.0,1.0,4.0,10.0,1.0,4.0,4.0,,,
23.0,2.0,3.0,2.0,2.0,59.0,4.0,1.0,5.0,
23.0,2.0,4.0,2.0,2.0,57.0,4.0,2.0,,
23.0,2.0,4.0,4.0,1.0,35.0,4.0,2.0,7.0,240.0
23.0,1.0,2.0,1.0,1.0,60.0,4.0,1.0,10.0,2604.0
23.0,1.0,4.0,5.0,1.0,21.0,4.0,1.0,7.0,1320.0
23.0,1.0,4.0,5.0,2.0,15.0,4.0,1.0,,
23.0,1.0,3.0,2.0,2.0,56.0,1.0,1.0,10.0,500.0
23.0,2.0,3.0,2.0,1.0,33.0,4.0,1.0,10.0,450.0
23.0,2.0,2.0,1.0,2.0,29.0,4.0,1.0,10.0,600.0
23.0,2.0,5.0,4.0,1.0,15.0,4.0,1.0,,
23.0,2.0,2.0,2.0,1.0,40.0,2.0,1.0,7.0,1320.0
23.0,2.0,5.0,10.0,2.0,1.0,4.0,,,
23.0,2.0,4.0,1.0,2.0,37.0,4.0,1.0,7.0,
23.0,2.0,2.0,12.0,1.0,69.0,1.0,2.0,3.0,
23.0,2.0,5.0,1.0,2.0,36.0,4.0,1.0,10.0,1320.0
23.0,2.0,5.0,2.0,1.0,36.0,4.0,1.0,10.0,1320.0
23.0,1.0,2.0,1.0,2.0,66.0,1.0,1.0,5.0,
23.0,1.0,5.0,1.0,2.0,39.0,1.0,1.0,10.0,3000.0
23.0,1.0,5.0,5.0,2.0,14.0,4.0,1.0,,
23.0,1.0,3.0,1.0,2.0,87.0,1.0,1.0,7.0,
23.0,1.0,2.0,2.0,2.0,78.0,3.0,1.0,5.0,
23.0,1.0,7.0,4.0,1.0,23.0,1.0,1.0,10.0,500.0
23.0,1.0,3.0,2.0,1.0,29.0,1.0,1.0,10.0,1400.0
23.0,1.0,4.0,2.0,1.0,35.0,4.0,1.0,10.0,3000.0
23.0,1.0,3.0,5.0,2.0,22.0,2.0,1.0,12.0,800.0
23.0,1.0,2.0,1.0,1.0,71.0,4.0,1.0,6.0,
23.0,1.0,3.0,4.0,1.0,0.0,4.0,,,
23.0,2.0,4.0,1.0,1.0,61.0,4.0,2.0,,
23.0,2.0,3.0,4.0,2.0,6.0,4.0,2.0,,
23.0,2.0,1.0,1.0,1.0,84.0,1.0,1.0,5.0,
23.0,1.0,2.0,1.0,1.0,70.0,4.0,2.0,5.0,
23.0,1.0,4.0,1.0,2.0,48.0,4.0,1.0,7.0,
23.0,1.0,4.0,4.0,2.0,15.0,4.0,1.0,,
23.0,1.0,7.0,1.0,2.0,39.0,4.0,1.0,7.0,
23.0,1.0,2.0,2.0,1.0,42.0,4.0,2.0,,
23.0,1.0,1.0,1.0,2.0,36.0,4.0,1.0,12.0,3500.0
23.0,1.0,3.0,5.0,1.0,8.0,4.0,2.0,,
23.0,1.0,3.0,2.0,2.0,29.0,4.0,1.0,13.0,5000.0
23.0,1.0,4.0,4.0,2.0,34.0,1.0,1.0,13.0,1320.0
23.0,1.0,2.0,2.0,1.0,65.0,4.0,1.0,12.0,3000.0
23.0,1.0,4.0,1.0,1.0,61.0,4.0,1.0,12.0,4000.0
23.0,1.0,3.0,2.0,2.0,31.0,4.0,1.0,10.0,600.0
23.0,1.0,5.0,1.0,1.0,69.0,4.0,1.0,7.0,
23.0,1.0,1.0,1.0,2.0,79.0,4.0,1.0,10.0,
23.0,1.0,4.0,5.0,2.0,4.0,4.0,,,
23.0,1.0,4.0,10.0,2.0,1.0,1.0,,,
23.0,1.0,3.0,12.0,2.0,23.0,4.0,1.0,10.0,1320.0
23.0,1.0,5.0,5.0,2.0,12.0,4.0,1.0,,
23.0,1.0,4.0,2.0,2.0,60.0,4.0,1.0,13.0,9000.0
23.0,1.0,2.0,10.0,1.0,27.0,4.0,1.0,,500.0
23.0,2.0,1.0,1.0,1.0,38.0,4.0,1.0,,420.0
23.0,1.0,5.0,4.0,1.0,27.0,4.0,1.0,12.0,2500.0
23.0,1.0,2.0,2.0,2.0,59.0,4.0,1.0,5.0,
23.0,1.0,9.0,5.0,1.0,16.0,2.0,1.0,,
23.0,1.0,2.0,1.0,2.0,43.0,4.0,1.0,7.0,
23.0,1.0,3.0,1.0,2.0,26.0,4.0,1.0,10.0,
23.0,1.0,4.0,1.0,1.0,40.0,4.0,1.0,10.0,3000.0
23.0,1.0,2.0,1.0,2.0,59.0,1.0,1.0,7.0,500.0
23.0,2.0,3.0,1.0,1.0,43.0,4.0,1.0,7.0,300.0
23.0,2.0,7.0,5.0,1.0,8.0,1.0,2.0,,
23.0,2.0,2.0,5.0,2.0,20.0,4.0,1.0,10.0,
23.0,1.0,2.0,2.0,1.0,61.0,4.0,1.0,10.0,2000.0
23.0,1.0,5.0,4.0,2.0,3.0,1.0,,,
23.0,1.0,3.0,5.0,1.0,29.0,1.0,1.0,7.0,200.0
23.0,2.0,3.0,1.0,2.0,42.0,4.0,1.0,,
23.0,1.0,1.0,1.0,1.0,88.0,4.0,2.0,3.0,
23.0,2.0,4.0,1.0,1.0,80.0,1.0,2.0,,
23.0,2.0,5.0,2.0,1.0,46.0,1.0,2.0,7.0,300.0
